           1          15
        1346   600.000000       4885.71387    
        1355   600.000000       4914.28516    
        1364   600.000000       4942.85645    
        1373   600.000000       4971.42773    
        1382   600.000000       4999.99902    
        1391   600.000000       5028.57031    
        1400   600.000000       5057.14160    
        1409   600.000000       5085.71289    
        1418   600.000000       5114.28418    
        1427   600.000000       5142.85547    
        1436   600.000000       5171.42676    
        1442   600.000000       5200.00000    
          30          15
        1442   600.000000       5200.00000    
        1450   600.000000       5228.57129    
        1459   600.000000       5257.14258    
        1468   600.000000       5285.71387    
        1477   600.000000       5314.28516    
        1486   600.000000       5342.85645    
        1495   600.000000       5371.42773    
        1504   600.000000       5399.99902    
        1513   600.000000       5428.57031    
        1522   600.000000       5457.14160    
        1531   600.000000       5485.71289    
        1540   600.000000       5514.28418    
        1549   600.000000       5542.85547    
        1558   600.000000       5571.42676    
        1564   600.000000       5600.00000    
          31          15
        1564   600.000000       5600.00000    
        1572   600.000000       5628.57129    
        1581   600.000000       5657.14258    
        1590   600.000000       5685.71387    
        1599   600.000000       5714.28516    
        1608   600.000000       5742.85645    
        1617   600.000000       5771.42773    
        1626   600.000000       5799.99902    
        1635   600.000000       5828.57031    
        1644   600.000000       5857.14160    
        1653   600.000000       5885.71289    
        1662   600.000000       5914.28418    
        1671   600.000000       5942.85547    
        1680   600.000000       5971.42676    
        1686   600.000000       6000.00000    
          32          15
        1686   600.000000       6000.00000    
        1694   600.000000       6028.57129    
        1702   600.000000       6057.14258    
        1710   600.000000       6085.71387    
        1718   600.000000       6114.28516    
        1726   600.000000       6142.85645    
        1734   600.000000       6171.42773    
        1742   600.000000       6199.99902    
        1750   600.000000       6228.57031    
        1758   600.000000       6257.14160    
        1766   600.000000       6285.71289    
        1774   600.000000       6314.28418    
        1782   600.000000       6342.85547    
        1790   600.000000       6371.42676    
        1795   600.000000       6400.00000    
          33          15
          58   1020.00000       0.00000000    
          59   1020.00000       28.5714283    
          64   1020.00000       57.1428566    
          69   1020.00000       85.7142868    
          74   1020.00000       114.285713    
          79   1020.00000       142.857147    
          84   1020.00000       171.428574    
          89   1020.00000       200.000000    
          94   1020.00000       228.571426    
          99   1020.00000       257.142853    
         104   1020.00000       285.714294    
         109   1020.00000       314.285736    
         114   1020.00000       342.857178    
         119   1020.00000       371.428619    
         124   1020.00000       400.000000    
          34          15
         124   1020.00000       400.000000    
         130   1020.00000       428.571442    
         137   1020.00000       457.142883    
         144   1020.00000       485.714325    
         151   1020.00000       514.285767    
         158   1020.00000       542.857178    
         165   1020.00000       571.428589    
         172   1020.00000       600.000000    
         179   1020.00000       628.571411    
         186   1020.00000       657.142822    
         193   1020.00000       685.714233    
         200   1020.00000       714.285645    
         207   1020.00000       742.857056    
         214   1020.00000       771.428467    
         220   1020.00000       800.000000    
          35          15
         220   1020.00000       800.000000    
         228   1020.00000       828.571411    
         237   1020.00000       857.142822    
         246   1020.00000       885.714233    
         255   1020.00000       914.285645    
         264   1020.00000       942.857056    
         273   1020.00000       971.428467    
         282   1020.00000       999.999878    
         291   1020.00000       1028.57129    
         300   1020.00000       1057.14270    
         309   1020.00000       1085.71411    
         318   1020.00000       1114.28552    
         327   1020.00000       1142.85693    
         336   1020.00000       1171.42834    
         343   1020.00000       1200.00000    
          36          15
         343   1020.00000       1200.00000    
         350   1020.00000       1228.57141    
         359   1020.00000       1257.14282    
         368   1020.00000       1285.71423    
         377   1020.00000       1314.28564    
         386   1020.00000       1342.85706    
         395   1020.00000       1371.42847    
         404   1020.00000       1399.99988    
         413   1020.00000       1428.57129    
         422   1020.00000       1457.14270    
         431   1020.00000       1485.71411    
         440   1020.00000       1514.28552    
         449   1020.00000       1542.85693    
         458   1020.00000       1571.42834    
         465   1020.00000       1600.00000    
          37          15
         465   1020.00000       1600.00000    
         472   1020.00000       1628.57141    
         481   1020.00000       1657.14282    
         490   1020.00000       1685.71423    
         499   1020.00000       1714.28564    
         508   1020.00000       1742.85706    
         517   1020.00000       1771.42847    
         526   1020.00000       1799.99988    
         535   1020.00000       1828.57129    
         544   1020.00000       1857.14270    
         553   1020.00000       1885.71411    
         562   1020.00000       1914.28552    
         571   1020.00000       1942.85693    
         580   1020.00000       1971.42834    
         587   1020.00000       2000.00000    
          38          15
         587   1020.00000       2000.00000    
         594   1020.00000       2028.57141    
         603   1020.00000       2057.14282    
         612   1020.00000       2085.71436    
         621   1020.00000       2114.28589    
         630   1020.00000       2142.85742    
         639   1020.00000       2171.42896    
         648   1020.00000       2200.00049    
         657   1020.00000       2228.57202    
         666   1020.00000       2257.14355    
         675   1020.00000       2285.71509    
         684   1020.00000       2314.28662    
         693   1020.00000       2342.85815    
         702   1020.00000       2371.42969    
         709   1020.00000       2400.00000    
          39          15
         709   1020.00000       2400.00000    
         716   1020.00000       2428.57153    
         725   1020.00000       2457.14307    
         734   1020.00000       2485.71460    
         743   1020.00000       2514.28613    
         752   1020.00000       2542.85767    
         761   1020.00000       2571.42920    
         770   1020.00000       2600.00073    
         779   1020.00000       2628.57227    
         788   1020.00000       2657.14380    
         797   1020.00000       2685.71533    
         806   1020.00000       2714.28687    
         815   1020.00000       2742.85840    
         824   1020.00000       2771.42993    
         831   1020.00000       2800.00000    
          40          15
         831   1020.00000       2800.00000    
         838   1020.00000       2828.57153    
         847   1020.00000       2857.14307    
         856   1020.00000       2885.71460    
         865   1020.00000       2914.28613    
         874   1020.00000       2942.85767    
         883   1020.00000       2971.42920    
         892   1020.00000       3000.00073    
         901   1020.00000       3028.57227    
         910   1020.00000       3057.14380    
         919   1020.00000       3085.71533    
         928   1020.00000       3114.28687    
         937   1020.00000       3142.85840    
         946   1020.00000       3171.42993    
         953   1020.00000       3200.00000    
          41          15
         953   1020.00000       3200.00000    
         960   1020.00000       3228.57153    
         969   1020.00000       3257.14307    
         978   1020.00000       3285.71460    
         987   1020.00000       3314.28613    
         996   1020.00000       3342.85767    
        1005   1020.00000       3371.42920    
        1014   1020.00000       3400.00073    
        1023   1020.00000       3428.57227    
        1032   1020.00000       3457.14380    
        1041   1020.00000       3485.71533    
        1050   1020.00000       3514.28687    
        1059   1020.00000       3542.85840    
        1068   1020.00000       3571.42993    
        1075   1020.00000       3600.00000    
          42          15
        1075   1020.00000       3600.00000    
        1082   1020.00000       3628.57153    
        1091   1020.00000       3657.14307    
        1100   1020.00000       3685.71460    
        1109   1020.00000       3714.28613    
        1118   1020.00000       3742.85767    
        1127   1020.00000       3771.42920    
